Feature,Importance
newbalanceDest,0.35205746
origin_balance_error,0.22873312
newbalanceOrig,0.14998613
oldbalanceDest,0.09881027
amount,0.04574994
destination_balance_error,0.044540294
oldbalanceOrg,0.02282554
step,0.011347486
origin_balance_change,0.011066302
high_value_transaction,0.010558613
destination_balance_change,0.009696076
origin_balance_removed_pct,0.009026339
type_CASH_OUT,0.0026859844
destination_balance_increase_pct,0.0026299898
type_PAYMENT,0.00023418361
type_TRANSFER,5.2231637e-05
type_DEBIT,5.211205e-08
